字,假名,送假名,旧字体,音训读,简体字,等级,类别
柊,ひいらぎ,,,训读,,准1级,人名用汉字
廻,え,,,音读,,准1级,人名用汉字
廻,かい,,,音读,,准1级,人名用汉字
廻,まわ,す,,训读,,准1级,人名用汉字
廻,まわ,る,,训读,,准1级,人名用汉字
廻,めぐ,らす,,训读,,准1级,人名用汉字
廻,めぐ,る,,训读,,准1级,人名用汉字
矧,しん,,,音读,,准1级,
矧,は,ぐ,,训读,,准1级,
衿,きん,,,音读,,准1级,人名用汉字
衿,えり,,,训读,,准1级,人名用汉字
竿,かん,,,音读,,准1级,人名用汉字
竿,さお,,,训读,,准1级,人名用汉字
竿,ふだ,,,训读,,准1级,人名用汉字
叛,はん,,,音读,,准1级,
叛,ほん,,,音读,,准1级,
叛,そむ,く,,训读,,准1级,
叛,はな,れる,,训读,,准1级,
柏,はく,,,音读,,准1级,人名用汉字
柏,ひゃく,,,音读,,准1级,人名用汉字
柏,びゃく,,,音读,,准1级,人名用汉字
柏,かしわ,,,训读,,准1级,人名用汉字
垢,く,,,音读,,准1级,
垢,こう,,,音读,,准1级,
垢,あか,,,训读,,准1级,
垢,けが,れる,,训读,,准1级,
垢,はじ,,,训读,,准1级,
垢,よご,れる,,训读,,准1级,
柁,た,,,音读,,准1级,
柁,だ,,,音读,,准1级,
柁,かじ,,,训读,,准1级,
毘,ひ,,,音读,,准1级,人名用汉字
毘,び,,,音读,,准1级,人名用汉字
毘,たす,ける,,训读,,准1级,人名用汉字
恰,かっ,,,音读,,准1级,人名用汉字
恰,こう,,,音读,,准1级,人名用汉字
恰,あたか,も,,训读,,准1级,人名用汉字
殆,たい,,,音读,,准1级,人名用汉字
殆,あや,うい,,训读,,准1级,人名用汉字
殆,ほとほと,,,训读,,准1级,人名用汉字
殆,ほとん,ど,,训读,,准1级,人名用汉字
韭,きゅう,,,音读,,准1级,
韭,にら,,,训读,,准1级,
盃,はい,,,音读,,准1级,人名用汉字
盃,さかずき,,,训读,,准1级,人名用汉字
粁,キロメートル,,,训读,,准1级,
凾,かん,,,音读,,准1级,
凾,い,れる,,训读,,准1级,
凾,はこ,,,训读,,准1级,
凾,よろい,,,训读,,准1级,
姪,てつ,,,音读,,准1级,人名用汉字
姪,めい,,,训读,,准1级,人名用汉字
姥,ぼ,,,音读,,准1级,人名用汉字
姥,も,,,音读,,准1级,人名用汉字
