字,假名,送假名,旧字体,音训读,简体字,等级,类别
畦,あぜ,,,训读,,准1级,
畦,うね,,,训读,,准1级,
晦,かい,,,音读,,准1级,人名用汉字
晦,くら,い,,训读,,准1级,人名用汉字
晦,くら,ます,,训读,,准1级,人名用汉字
晦,つごもり,,,训读,,准1级,人名用汉字
晦,みそか,,,训读,,准1级,人名用汉字
袷,きょう,,,音读,,准1级,
袷,こう,,,音读,,准1级,
袷,あわせ,,,训读,,准1级,
梁,りょう,,,音读,,准1级,人名用汉字
梁,うつばり,,,训读,,准1级,人名用汉字
梁,はし,,,训读,,准1级,人名用汉字
梁,はり,,,训读,,准1级,人名用汉字
梁,やな,,,训读,,准1级,人名用汉字
砦,さい,,,音读,,准1级,人名用汉字
砦,とりで,,,训读,,准1级,人名用汉字
笠,りゅう,,,音读,,准1级,人名用汉字
笠,かさ,,,训读,,准1级,人名用汉字
