字,假名,送假名,旧字体,音训读,简体字
潜,もぐ,る,潛,训读,
線,せん,,,音读,线
遷,せん,,,音读,迁
選,せん,,,音读,选
選,えら,ぶ,,训读,选
薦,せん,,,音读,荐
薦,すす,める,,训读,荐
繊,せん,,纖,音读,荐
鮮,せん,,,音读,鲜
鮮,あざやか,,,训读,鲜
全,ぜん,,,音读,
全,まった,く,,训读,
全,すべ,て,,训读,
前,ぜん,,,音读,
前,まえ,,,训读,
善,ぜん,,,音读,
善,よ,い,,训读,
然,ぜん,,,音读,
然,ねん,,,音读,
禅,ぜん,,禪,音读,
漸,ぜん,,,音读,渐
膳,ぜん,,,音读,
繕,ぜん,,,音读,缮
繕,つくろ,う,,训读,缮
狙,そ,,,音读,
狙,ねら,う,,训读,
阻,そ,,,音读,
阻,はば,む,,训读,
祖,そ,,祖,音读,
租,そ,,,音读,
素,そ,,,音读,
素,す,,,音读,
措,そ,,,音读,
粗,そ,,,音读,
粗,あら,い,,训读,
組,そ,,,音读,组
組,く,む,,训读,组
組,くみ,,,训读,组
疎,そ,,,音读,疏
疎,うと,い,,训读,疏
疎,うと,む,,训读,疏
訴,そ,,,音读,诉
訴,うった,える,,训读,诉
塑,そ,,,音读,
遡［遡］,そ,,,音读,
遡［遡］,さかのぼ,る,,训读,
礎,そ,,,音读,础
礎,いしずえ,,,训读,础
双,そう,,雙,音读,
双,ふた,,雙,训读,
壮,そう,,壯,音读,
早,そう,,,音读,
早,さっ,,,音读,
早,はや,い,,训读,
早,はや,まる,,训读,
早,はや,める,,训读,
争,そう,,爭,音读,
争,あらそ,う,爭,训读,
走,そう,,,音读,
走,はし,る,,训读,
奏,そう,,,音读,
奏,かな,でる,,训读,
相,そう,,,音读,
相,しょう,,,音读,
相,あい,,,训读,
荘,そう,,莊,音读,庄
草,そう,,,音读,
草,くさ,,,训读,
送,そう,,,音读,
送,おく,る,,训读,
倉,そう,,,音读,仓
倉,くら,,,训读,仓
捜,そう,,搜,音读,搜
捜,さが,す,搜,训读,搜
挿,そう,,插,音读,插
挿,さ,す,插,训读,插
桑,そう,,,音读,
桑,くわ,,,训读,
巣,そう,,巢,音读,巢
巣,す,,巢,训读,巢
掃,そう,,,音读,扫
掃,は,く,,训读,扫
曹,そう,,,音读,
曽,そう,,曾,音读,
曽,ぞ,,曾,音读,
爽,そう,,,音读,
爽,さわやか,,,训读,
窓,そう,,,音读,窗
窓,まど,,,训读,窗
創,そう,,,音读,创
創,つく,る,,训读,创
喪,そう,,,音读,丧
喪,も,,,训读,丧
痩,そう,,瘦,音读,
痩,や,せる,瘦,训读,
葬,そう,,,音读,
