字,假名,送假名,旧字体,音训读,简体字
念,ねん,,,音读,
捻,ねん,,,音读,
粘,ねん,,,音读,
粘,ねば,る,,训读,
燃,ねん,,,音读,
燃,も,える,,训读,
燃,も,やす,,训读,
燃,も,す,,训读,
悩,のう,,惱,音读,恼
悩,なや,む,惱,训读,恼
悩,なや,ます,惱,训读,恼
納,のう,,,音读,纳
納,なっ,,,音读,纳
納,な,,,音读,纳
納,なん,,,音读,纳
納,とう,,,音读,纳
納,おさ,める,,训读,纳
納,おさ,まる,,训读,纳
能,のう,,,音读,
脳,のう,,腦,音读,脑
農,のう,,,音读,农
濃,のう,,,音读,浓
濃,こ,い,,训读,浓
把,は,,,音读,
波,は,,,音读,
波,なみ,,,训读,
派,は,,,音读,
破,は,,,音读,
破,やぶ,る,,训读,
破,やぶ,れる,,训读,
覇,は,,霸,音读,霸
馬,ば,,,音读,马
馬,うま,,,训读,马
馬,ま,,,训读,马
婆,ば,,,音读,
罵,ば,,,音读,
罵,ののし,る,,训读,
拝,はい,,拜,音读,拜
拝,おが,む,拜,训读,拜
杯,はい,,,音读,
杯,さかずき,,,训读,
背,はい,,,音读,
背,せ,,,训读,
背,せい,,,训读,
背,そむ,く,,训读,
背,そむ,ける,,训读,
肺,はい,,,音读,
俳,はい,,,音读,
配,はい,,,音读,
配,くば,る,,训读,
排,はい,,,音读,
敗,はい,,,音读,败
敗,やぶ,れる,,训读,败
廃,はい,,廢,音读,废
廃,すた,れる,廢,训读,废
廃,すた,る,廢,训读,废
輩,はい,,,音读,辈
売,ばい,,賣,音读,卖
売,う,る,賣,训读,卖
売,う,れる,賣,训读,卖
倍,ばい,,,音读,
梅,ばい,,梅,音读,
梅,うめ,,梅,训读,
培,ばい,,,音读,
培,つちか,う,,训读,
陪,ばい,,,音读,
媒,ばい,,,音读,
買,ばい,,,音读,买
買,か,う,,训读,买
賠,ばい,,,音读,赔
白,はく,,,音读,
白,びゃく,,,音读,
白,しろ,,,训读,
白,しら,,,训读,
白,しろ,い,,训读,
伯,はく,,,音读,
拍,はく,,,音读,
拍,ひょう,,,音读,
泊,はく,,,音读,
泊,と,まる,,训读,
泊,と,める,,训读,
迫,はく,,,音读,
迫,せま,る,,训读,
剝,はく,,,音读,
剝,は,がす,,训读,
剝,は,ぐ,,训读,
剝,は,がれる,,训读,
剝,は,げる,,训读,
舶,はく,,,音读,
博,はく,,,音读,
博,ばく,,,音读,
薄,はく,,,音读,
薄,うす,い,,训读,
薄,うす,める,,训读,
薄,うす,まる,,训读,
薄,うす,らぐ,,训读,
薄,うす,れる,,训读,
麦,ばく,,麥,音读,
麦,むぎ,,麥,训读,
漠,ばく,,,音读,
縛,ばく,,,音读,缚
縛,しば,る,,训读,缚
爆,ばく,,,音读,
箱,はこ,,,训读,
箸,はし,,,训读,
畑,はた,,,训读,
畑,はたけ,,,训读,
肌,はだ,,,训读,
八,はち,,,音读,
八,や,,,训读,
八,や,つ,,训读,
八,やっ,つ,,训读,
八,よう,,,训读,
鉢,はち,,,音读,钵
鉢,はつ,,,音读,钵
発,はつ,,發,音读,发
発,ほつ,,發,音读,发
髪,はつ,,髮,音读,发
髪,かみ,,髮,训读,发
伐,ばつ,,,音读,
抜,ばつ,,拔,音读,拔
抜,ぬ,く,拔,训读,拔
抜,ぬ,ける,拔,训读,拔
抜,ぬ,かす,拔,训读,拔
抜,ぬ,かる,拔,训读,拔
罰,ばつ,,,音读,罚
罰,ばち,,,音读,罚
閥,ばつ,,,音读,阀
反,はん,,,音读,
反,ほん,,,音读,
反,たん,,,音读,
反,そ,る,,训读,
反,そ,らす,,训读,
半,はん,,,音读,
半,なか,ば,,训读,
氾,はん,,,音读,
犯,はん,,,音读,
犯,おか,す,,训读,
帆,はん,,,音读,
帆,ほ,,,训读,
汎,はん,,,音读,
伴,はん,,,音读,
伴,ばん,,,音读,
伴,ともな,う,,训读,
判,はん,,,音读,
判,ばん,,,音读,
坂,はん,,,音读,
坂,さか,,,训读,
阪,はん,,,音读,
板,はん,,,音读,
板,ばん,,,音读,
板,いた,,,训读,
版,はん,,,音读,
班,はん,,,音读,
畔,はん,,,音读,
般,はん,,,音读,船
販,はん,,,音读,贩
斑,はん,,,音读,
飯,はん,,,音读,饭
飯,めし,,,训读,饭
搬,はん,,,音读,
煩,はん,,,音读,烦
煩,ぼん,,,音读,烦
煩,わずら,う,,训读,烦
煩,わずら,わす,,训读,烦
頒,はん,,,音读,颁
範,はん,,,音读,范
繁,はん,,繁,音读,
藩,はん,,,音读,
晩,ばん,,晚,音读,晚
番,ばん,,,音读,
蛮,ばん,,蠻,音读,
盤,ばん,,,音读,磐
比,ひ,,,音读,
比,くら,べる,,训读,
皮,ひ,,,音读,
皮,かわ,,,训读,
妃,ひ,,,音读,
否,ひ,,,音读,
否,いな,,,训读,
批,ひ,,,音读,
彼,ひ,,,音读,
彼,かれ,,,训读,
彼,かの,,,训读,
披,ひ,,,音读,
肥,ひ,,,音读,
肥,こ,える,,训读,
肥,こえ,,,训读,
肥,こ,やす,,训读,
肥,こ,やし,,训读,
非,ひ,,,音读,
卑,ひ,,卑,音读,
卑,いや,しい,卑,训读,
卑,いや,しむ,卑,训读,
卑,いや,しめる,卑,训读,
飛,ひ,,,音读,飞
飛,と,ぶ,,训读,飞
飛,と,ばす,,训读,飞
疲,ひ,,,音读,
疲,つか,れる,,训读,
秘,ひ,,祕,音读,
秘,ひ,める,祕,训读,
被,ひ,,,音读,
被,こうむ,る,,训读,
悲,ひ,,,音读,
悲,かな,しい,,训读,
悲,かな,しむ,,训读,
扉,ひ,,,音读,
扉,とびら,,,训读,
費,ひ,,,音读,费
費,つい,やす,,训读,费
費,つい,える,,训读,费
碑,ひ,,碑,音读,
罷,ひ,,,音读,罢
避,ひ,,,音读,
避,さ,ける,,训读,
尾,び,,,音读,
尾,お,,,训读,
眉,び,,,音读,
眉,み,,,音读,
眉,まゆ,,,训读,
美,び,,,音读,
美,うつく,しい,,训读,
備,び,,,音读,备
備,そな,える,,训读,备
備,そな,わる,,训读,备
微,び,,,音读,
鼻,び,,,音读,
鼻,はな,,,训读,
膝,ひざ,,,训读,
肘,ひじ,,,训读,
匹,ひつ,,,音读,
匹,ひき,,,训读,
必,ひつ,,,音读,
必,かなら,ず,,训读,
泌,ひつ,,,音读,
泌,ひ,,,音读,
筆,ひつ,,,音读,笔
筆,ふで,,,训读,笔
姫,ひめ,,,训读,姬
百,ひゃく,,,音读,
氷,ひょう,,,音读,冰
氷,こおり,,,训读,冰
氷,ひ,,,训读,冰
表,ひょう,,,音读,
表,おもて,,,训读,
表,あらわ,す,,训读,
表,あらわ,れる,,训读,
俵,ひょう,,,音读,
俵,たわら,,,训读,
票,ひょう,,,音读,
評,ひょう,,,音读,评
漂,ひょう,,,音读,
漂,ただよ,う,,训读,
標,ひょう,,,音读,标
苗,びょう,,,音读,
苗,なえ,,,训读,
苗,なわ,,,训读,
秒,びょう,,,音读,
病,びょう,,,音读,
病,へい,,,音读,
病,や,む,,训读,
病,やまい,,,训读,
描,びょう,,,音读,
描,えが,く,,训读,
描,か,く,,训读,
猫,びょう,,,音读,
猫,ねこ,,,训读,
品,ひん,,,音读,
品,しな,,,训读,
浜,ひん,,濱,音读,滨
浜,はま,,濱,训读,滨
貧,ひん,,,音读,贫
貧,びん,,,音读,贫
貧,まず,しい,,训读,贫
賓,ひん,,賓,音读,宾
頻,ひん,,頻,音读,频
敏,びん,,敏,音读,
瓶,びん,,甁,音读,
不,ふ,,,音读,
不,ぶ,,,音读,
夫,ふ,,,音读,
夫,ふう,,,音读,
夫,おっと,,,训读,
父,ふ,,,音读,
父,ちち,,,训读,
付,ふ,,,音读,
付,つ,ける,,训读,
付,つ,く,,训读,
布,ふ,,,音读,
布,ぬの,,,训读,
扶,ふ,,,音读,
府,ふ,,,音读,
怖,ふ,,,音读,
怖,こわ,い,,训读,
阜,ふ,,,音读,
附,ふ,,,音读,
訃,ふ,,,音读,讣
負,ふ,,,音读,负
負,ま,ける,,训读,负
負,ま,かす,,训读,负
負,お,う,,训读,负
赴,ふ,,,音读,
赴,おもむ,く,,训读,
浮,ふ,,,音读,
浮,う,く,,训读,
浮,う,かれる,,训读,
浮,う,かぶ,,训读,
浮,う,かべる,,训读,
婦,ふ,,,音读,妇
符,ふ,,,音读,
富,ふ,,,音读,
富,ふう,,,音读,
富,と,む,,训读,
富,とみ,,,训读,
普,ふ,,,音读,
腐,ふ,,,音读,
腐,くさ,る,,训读,
腐,くされる,れ,,训读,
腐,くさ,らす,,训读,
敷,ふ,,,音读,
敷,し,く,,训读,
膚,ふ,,,音读,肤
賦,ふ,,,音读,赋
譜,ふ,,,音读,谱
侮,ぶ,,侮,音读,
侮,あなど,る,侮,训读,
武,ぶ,,,音读,
武,む,,,音读,
部,ぶ,,,音读,
舞,ぶ,,,音读,
舞,ま,う,,训读,
舞,まい,,,训读,
封,ふう,,,音读,
封,ほう,,,音读,
風,ふう,,,音读,风
風,ふ,,,音读,风
風,かぜ,,,训读,风
風,かざ,,,训读,风
伏,ふく,,,音读,
伏,ふ,せる,,训读,
伏,ふ,す,,训读,
服,ふく,,,音读,
副,ふく,,,音读,
幅,ふく,,,音读,
幅,はば,,,训读,
復,ふく,,,音读,复
福,ふく,,福,音读,
腹,ふく,,,音读,
腹,はら,,,训读,
複,ふく,,,音读,复
覆,ふく,,,音读,
覆,おお,う,,训读,
覆,くつがえ,す,,训读,
覆,くつがえ,る,,训读,
払,ふつ,,拂,音读,付
払,はら,う,拂,训读,付
沸,ふつ,,,音读,
沸,わ,く,,训读,
沸,わ,かす,,训读,
仏,ぶつ,,佛,音读,佛
仏,ほとけ,,佛,训读,佛
物,ぶつ,,,音读,
物,もつ,,,音读,
物,もの,,,训读,
粉,ふん,,,音读,
粉,こ,,,训读,
粉,こな,,,训读,
紛,ふん,,,音读,纷
紛,まぎ,れる,,训读,纷
紛,まぎ,らす,,训读,纷
紛,まぎ,らわす,,训读,纷
紛,まぎ,らわしい,,训读,纷
雰,ふん,,,音读,氛
噴,ふん,,,音读,喷
噴,ふ,く,,训读,喷
墳,ふん,,,音读,坟
憤,ふん,,,音读,愤
憤,いきどお,る,,训读,愤
奮,ふん,,,音读,奋
奮,ふる,う,,训读,奋
分,ぶん,,,音读,
分,ふん,,,音读,
分,ぶ,,,音读,
分,わ,ける,,训读,
分,わ,かれる,,训读,
分,わ,かる,,训读,
分,わ,かつ,,训读,
文,ぶん,,,音读,
文,もん,,,音读,
文,ふみ,,,训读,
聞,ぶん,,,音读,闻
聞,もん,,,音读,闻
聞,き,く,,训读,闻
聞,き,こえる,,训读,闻
丙,へい,,,音读,
平,へい,,,音读,
平,びょう,,,音读,
平,たいら,,,训读,
平,ひら,,,训读,
兵,へい,,,音读,
兵,ひょう,,,音读,
併,へい,,倂,音读,并
併,あわ,せる,倂,训读,并
並,へい,,竝,音读,并
並,なみ,,竝,训读,并
並,なら,べる,竝,训读,并
並,なら,ぶ,竝,训读,并
並,なら,びに,竝,训读,并
柄,へい,,,音读,
柄,がら,,,训读,
柄,え,,,训读,
陛,へい,,,音读,
閉,へい,,,音读,闭
閉,と,じる,,训读,闭
閉,と,ざす,,训读,闭
閉,し,める,,训读,闭
閉,し,まる,,训读,闭
塀,へい,,塀,音读,
幣,へい,,,音读,币
弊,へい,,,音读,
蔽,へい,,,音读,
餅［餅］,へい,,餠,音读,
餅［餅］,もち,,餠,训读,
米,べい,,,音读,
米,まい,,,音读,
米,こめ,,,训读,
壁,へき,,,音读,
壁,かべ,,,训读,
璧,へき,,,音读,
癖,へき,,,音读,
癖,くせ,,,训读,
別,べつ,,,音读,别
別,わか,れる,,训读,别
蔑,べつ,,,音读,
蔑,さげす,む,,训读,
片,へん,,,音读,
片,かた,,,训读,
辺,へん,,邊,音读,边
辺,あた,り,邊,训读,边
辺,べ,,邊,训读,边
返,へん,,,音读,
返,かえ,す,,训读,
返,かえ,る,,训读,
変,へん,,變,音读,变
変,か,わる,變,训读,变
変,か,える,變,训读,变
偏,へん,,,音读,
偏,かたよ,る,,训读,
遍,へん,,,音读,
編,へん,,,音读,编
編,あ,む,,训读,编
弁（辨）（瓣）,べん,,辯,音读,
便,べん,,,音读,
便,びん,,,音读,
便,たよ,り,,训读,
勉,べん,,勉,音读,
歩,ほ,,步,音读,步
歩,ぶ,,步,音读,步
歩,ふ,,步,音读,步
歩,ある,く,步,训读,步
歩,あゆ,む,步,训读,步
保,ほ,,,音读,
保,たも,つ,,训读,
哺,ほ,,,音读,
捕,ほ,,,音读,
捕,と,らえる,,训读,
捕,と,らわれる,,训读,
捕,と,る,,训读,
捕,つか,まえる,,训读,
捕,つか,まる,,训读,
補,ほ,,,音读,补
補,おぎな,う,,训读,补
舗,ほ,,,音读,铺
母,ぼ,,,音读,
母,はは,,,训读,
募,ぼ,,,音读,
募,つの,る,,训读,
墓,ぼ,,,音读,
墓,はか,,,训读,
慕,ぼ,,,音读,
慕,した,う,,训读,
暮,ぼ,,,音读,
暮,く,れる,,训读,
暮,く,らす,,训读,
簿,ぼ,,,音读,
方,ほう,,,音读,
方,かた,,,训读,
包,ほう,,,音读,
包,つつ,む,,训读,
芳,ほう,,,音读,
芳,かんば,しい,,训读,
邦,ほう,,,音读,
奉,ほう,,,音读,
奉,ぶ,,,音读,
奉,たてまつ,る,,训读,
宝,ほう,,寶,音读,
宝,たから,,寶,训读,
抱,ほう,,,音读,
抱,だ,く,,训读,
抱,いだ,く,,训读,
抱,かか,える,,训读,
放,ほう,,,音读,
放,はな,す,,训读,
放,はな,つ,,训读,
放,はな,れる,,训读,
放,ほう,る,,训读,
法,ほう,,,音读,
法,はっ,,,音读,
法,ほっ,,,音读,
泡,ほう,,,音读,
泡,あわ,,,训读,
胞,ほう,,,音读,脓
俸,ほう,,,音读,
倣,ほう,,,音读,
倣,なら,う,,训读,
峰,ほう,,,音读,
峰,みね,,,训读,
砲,ほう,,,音读,炮
崩,ほう,,,音读,
崩,くず,れる,,训读,
崩,くず,す,,训读,
訪,ほう,,,音读,访
訪,おとず,れる,,训读,访
訪,たず,ねる,,训读,访
報,ほう,,,音读,报
報,むく,いる,,训读,报
蜂,ほう,,,音读,
蜂,はち,,,训读,
豊,ほう,,豐,音读,丰
豊,ゆたか,,豐,训读,丰
飽,ほう,,,音读,饱
飽,あ,きる,,训读,饱
飽,あかす,,,训读,饱
褒,ほう,,襃,音读,
褒,ほ,める,襃,训读,
縫,ほう,,,音读,缝
縫,ぬ,う,,训读,缝
亡,ぼう,,,音读,
亡,もう,,,音读,
亡,な,い,,训读,
乏,ぼう,,,音读,
乏,とぼ,しい,,训读,
忙,ぼう,,,音读,
忙,いそが,しい,,训读,
坊,ぼう,,,音读,
坊,ぼっ,,,音读,
妨,ぼう,,,音读,
妨,さまた,げる,,训读,
忘,ぼう,,,音读,
忘,わす,れる,,训读,
防,ぼう,,,音读,
防,ふせ,ぐ,,训读,
房,ぼう,,,音读,
房,ふさ,,,训读,
肪,ぼう,,,音读,
某,ぼう,,,音读,
冒,ぼう,,,音读,
冒,おか,す,,训读,
剖,ぼう,,,音读,
紡,ぼう,,,音读,纺
紡,つむ,ぐ,,训读,纺
望,ぼう,,,音读,
望,もう,,,音读,
望,のぞ,む,,训读,
傍,ぼう,,,音读,
傍,かたわ,ら,,训读,
帽,ぼう,,,音读,
棒,ぼう,,,音读,
貿,ぼう,,,音读,贸
貌,ぼう,,,音读,
暴,ぼう,,,音读,
暴,ばく,,,音读,
暴,あば,く,,训读,
暴,あば,れる,,训读,
膨,ぼう,,,音读,
膨,ふく,らむ,,训读,
膨,ふく,れる,,训读,
謀,ぼう,,,音读,谋
謀,む,,,音读,谋
謀,はか,る,,训读,谋
頰,ほお,,,训读,颊
北,ほく,,,音读,
北,きた,,,训读,
木,ぼく,,,音读,
木,もく,,,音读,
木,き,,,训读,
木,こ,,,训读,
朴,ぼく,,,音读,
牧,ぼく,,,音读,
牧,まき,,,训读,
睦,ぼく,,,音读,
僕,ぼく,,,音读,仆
墨,ぼく,,墨,音读,
墨,すみ,,墨,训读,
撲,ぼく,,,音读,扑
没,ぼつ,,,音读,
勃,ぼつ,,,音读,
堀,ほり,,,训读,
本,ほん,,,音读,
本,もと,,,训读,
奔,ほん,,,音读,
翻,ほん,,飜,音读,
翻,ひるがえ,る,飜,训读,
翻,ひるがえ,す,飜,训读,
凡,ぼん,,,音读,
凡,はん,,,音读,
盆,ぼん,,,音读,
麻,ま,,,音读,
麻,あさ,,,训读,
摩,ま,,,音读,
磨,ま,,,音读,
磨,みが,く,,训读,
魔,ま,,,音读,
毎,まい,,每,音读,每
妹,まい,,,音读,
妹,いもうと,,,训读,
枚,まい,,,音读,
昧,まい,,,音读,
埋,まい,,,音读,
埋,う,める,,训读,
埋,う,まる,,训读,
埋,う,もれる,,训读,
幕,まく,,,音读,
幕,ばく,,,音读,
膜,まく,,,音读,
枕,まくら,,,训读,
又,また,,,训读,
末,まつ,,,音读,
末,ばつ,,,音读,
末,すえ,,,训读,
抹,まつ,,,音读,
万,まん,,萬,音读,
万,ばん,,萬,音读,
満,まん,,滿,音读,满
満,み,ちる,滿,训读,满
満,み,たす,滿,训读,满
慢,まん,,,音读,
漫,まん,,,音读,
未,み,,,音读,
味,み,,,音读,
味,あじ,,,训读,
味,あじ,わう,,训读,
魅,み,,,音读,
岬,みさき,,,训读,
密,みつ,,,音读,
蜜,みつ,,,音读,
脈,みゃく,,,音读,脉
妙,みょう,,,音读,
民,みん,,,音读,
民,たみ,,,训读,
眠,みん,,,音读,
眠,ねむ,る,,训读,
眠,ねむ,い,,训读,
矛,む,,,音读,
矛,ほこ,,,训读,
務,む,,,音读,务
務,つと,める,,训读,务
務,つと,まる,,训读,务
無,む,,,音读,无
無,ぶ,,,音读,无
無,な,い,,训读,无
夢,む,,,音读,梦
夢,ゆめ,,,训读,梦
霧,む,,,音读,雾
霧,きり,,,训读,雾
娘,むすめ,,,训读,
名,めい,,,音读,
名,みょう,,,音读,
名,な,,,训读,
命,めい,,,音读,
命,みょう,,,音读,
命,いのち,,,训读,
明,めい,,,音读,
明,みょう,,,音读,
明,あ,かり,,训读,
明,あか,るい,,训读,
明,あか,るむ,,训读,
明,あか,らむ,,训读,
明,あきらか,,,训读,
明,あ,ける,,训读,
明,あ,く,,训读,
明,あ,くる,,训读,
明,あ,かす,,训读,
迷,めい,,,音读,
迷,まよ,う,,训读,
冥,めい,,,音读,
冥,みょう,,,音读,
盟,めい,,,音读,
銘,めい,,,音读,铭
鳴,めい,,,音读,鸣
鳴,な,く,,训读,鸣
鳴,な,る,,训读,鸣
鳴,な,らす,,训读,鸣
滅,めつ,,,音读,灭
滅,ほろ,びる,,训读,灭
滅,ほろ,ぼす,,训读,灭
免,めん,,免,音读,
免,まぬか,れる,免,训读,
面,めん,,,音读,
面,おも,,,训读,
面,おもて,,,训读,
面,つら,,,训读,
綿,めん,,,音读,绵
綿,わた,,,训读,绵
麺,めん,,麵,音读,
茂,も,,,音读,
茂,しげ,る,,训读,
模,も,,,音读,
模,ぼ,,,音读,
毛,もう,,,音读,
毛,け,,,训读,
妄,もう,,,音读,
妄,ぼう,,,音读,
盲,もう,,,音读,
耗,もう,,,音读,
耗,こう,,,音读,
猛,もう,,,音读,
網,もう,,,音读,网
網,あみ,,,训读,网
目,もく,,,音读,
目,ぼく,,,音读,
目,め,,,训读,
目,ま,,,训读,
黙,もく,,默,音读,默
黙,だま,る,默,训读,默
門,もん,,,音读,门
門,かど,,,训读,门
紋,もん,,,音读,纹
問,もん,,,音读,问
問,と,う,,训读,问
問,と,い,,训读,问
問,とん,,,训读,问
冶,や,,,音读,
夜,や,,,音读,
夜,よ,,,训读,
夜,よる,,,训读,
野,や,,,音读,
野,の,,,训读,
弥,や,,彌,训读,
厄,やく,,,音读,
役,やく,,,音读,
役,えき,,,音读,
約,やく,,,音读,约
訳,やく,,譯,音读,译
訳,わけ,,譯,训读,译
薬,やく,,藥,音读,药
薬,くすり,,藥,训读,药
躍,やく,,,音读,跃
躍,おど,る,,训读,跃
闇,やみ,,,训读,
由,ゆ,,,音读,
由,ゆう,,,音读,
由,ゆい,,,音读,
由,よし,,,训读,
油,ゆ,,,音读,
油,あぶら,,,训读,
喩,ゆ,,,音读,
愉,ゆ,,,音读,
諭,ゆ,,,音读,谕
諭,さと,す,,训读,谕
輸,ゆ,,,音读,输
癒,ゆ,,,音读,愈
癒,い,える,,训读,愈
癒,い,やす,,训读,愈
唯,ゆい,,,音读,
唯,い,,,音读,
友,ゆう,,,音读,
友,とも,,,训读,
有,ゆう,,,音读,
有,う,,,音读,
有,あ,る,,训读,
勇,ゆう,,,音读,
勇,いさ,む,,训读,
幽,ゆう,,,音读,
悠,ゆう,,,音读,
郵,ゆう,,,音读,邮
湧,ゆう,,,音读,
湧,わ,く,,训读,
猶,ゆう,,,音读,犹
裕,ゆう,,,音读,
遊,ゆう,,,音读,游
遊,ゆ,,,音读,游
遊,あそ,ぶ,,训读,游
雄,ゆう,,,音读,
雄,お,,,训读,
雄,おす,,,训读,
誘,ゆう,,,音读,诱
誘,さそ,う,,训读,诱
憂,ゆう,,,音读,忧
憂,うれ,える,,训读,忧
憂,うれ,い,,训读,忧
憂,う,い,,训读,忧
融,ゆう,,,音读,
優,ゆう,,,音读,优
優,やさ,しい,,训读,优
優,すぐ,れる,,训读,优
与,よ,,與,音读,
与,あた,える,與,训读,
予,よ,,豫,音读,
余,よ,,餘,音读,
余,あま,る,餘,训读,
余,あま,す,餘,训读,
誉,よ,,譽,音读,
誉,ほま,れ,譽,训读,
預,よ,,,音读,预
預,あず,ける,,训读,预
預,あず,かる,,训读,预
幼,よう,,,音读,
幼,おさな,い,,训读,
用,よう,,,音读,
用,もち,いる,,训读,
羊,よう,,,音读,
羊,ひつじ,,,训读,
妖,よう,,,音读,
妖,あや,しい,,训读,
洋,よう,,,音读,
要,よう,,,音读,
要,かなめ,,,训读,
要,い,る,,训读,
容,よう,,,音读,
庸,よう,,,音读,
揚,よう,,,音读,扬
揚,あ,げる,,训读,扬
揚,あ,がる,,训读,扬
揺,よう,,搖,音读,摇
揺,ゆ,れる,搖,训读,摇
揺,ゆる,,搖,训读,摇
揺,ゆ,らぐ,搖,训读,摇
揺,ゆ,るぐ,搖,训读,摇
揺,ゆ,する,搖,训读,摇
揺,ゆ,さぶる,搖,训读,摇
揺,ゆ,すぶる,搖,训读,摇
葉,よう,,,音读,叶
葉,は,,,训读,叶
陽,よう,,,音读,阳
溶,よう,,,音读,
溶,と,ける,,训读,
溶,と,かす,,训读,
溶,と,く,,训读,
腰,よう,,,音读,
腰,こし,,,训读,
様,よう,,樣,音读,样
様,さま,,樣,训读,样
瘍,よう,,,音读,疡
踊,よう,,,音读,
踊,おど,る,,训读,
踊,おど,り,,训读,
窯,よう,,,音读,窑
窯,かま,,,训读,窑
養,よう,,,音读,养
養,やしな,う,,训读,养
擁,よう,,,音读,拥
謡,よう,,謠,音读,谣
謡,うたい,,謠,训读,谣
謡,うた,う,謠,训读,谣
曜,よう,,,音读,
抑,よく,,,音读,
抑,おさ,える,,训读,
沃,よく,,,音读,
浴,よく,,,音读,
浴,あ,びる,,训读,
浴,あ,びせる,,训读,
欲,よく,,,音读,
欲,ほっ,する,,训读,
欲,ほ,しい,,训读,
翌,よく,,,音读,
翼,よく,,,音读,
翼,つばさ,,,训读,
拉,ら,,,音读,
裸,ら,,,音读,
裸,はだか,,,训读,
羅,ら,,,音读,罗
来,らい,,來,音读,
来,く,る,來,训读,
来,きた,る,來,训读,
来,きた,す,來,训读,
雷,らい,,,音读,
雷,かみなり,,,训读,
頼,らい,,賴,音读,赖
頼,たの,む,賴,训读,赖
頼,たの,もしい,賴,训读,赖
頼,たよ,る,賴,训读,赖
絡,らく,,,音读,络
絡,から,む,,训读,络
絡,から,まる,,训读,络
絡,から,める,,训读,络
落,らく,,,音读,
落,お,ちる,,训读,
落,お,とす,,训读,
酪,らく,,,音读,
辣,らつ,,,音读,
乱,らん,,亂,音读,
乱,みだ,れる,亂,训读,
乱,みだ,す,亂,训读,
卵,らん,,,音读,
卵,たまご,,,训读,
覧,らん,,覽,音读,览
濫,らん,,,音读,滥
藍,らん,,,音读,蓝
藍,あい,,,训读,蓝
欄,らん,,欄,音读,栏
吏,り,,,音读,
利,り,,,音读,
利,き,く,,训读,
里,り,,,音读,
里,さと,,,训读,
理,り,,,音读,
痢,り,,,音读,
裏,り,,,音读,里
裏,うら,,,训读,里
履,り,,,音读,
履,は,く,,训读,
璃,り,,,音读,
離,り,,,音读,离
離,はな,れる,,训读,离
離,はな,す,,训读,离
陸,りく,,,音读,陆
立,りつ,,,音读,
立,りゅう,,,音读,
立,た,つ,,训读,
立,た,てる,,训读,
律,りつ,,,音读,
律,りち,,,音读,
慄,りつ,,,音读,
略,りゃく,,,音读,
柳,りゅう,,,音读,
柳,やなぎ,,,训读,
流,りゅう,,,音读,
流,る,,,音读,
流,なが,れる,,训读,
流,なが,す,,训读,
留,りゅう,,,音读,
留,る,,,音读,
留,と,める,,训读,
留,と,まる,,训读,
竜,りゅう,,龍,音读,龙
竜,たつ,,龍,训读,龙
粒,りゅう,,,音读,
粒,つぶ,,,训读,
隆,りゅう,,隆,音读,
硫,りゅう,,,音读,
侶,りょ,,,音读,
旅,りょ,,,音读,
旅,たび,,,训读,
虜,りょ,,虜,音读,虏
慮,りょ,,,音读,虑
了,りょう,,,音读,
両,りょう,,兩,音读,两
良,りょう,,,音读,
良,よ,い,,训读,
料,りょう,,,音读,
涼,りょう,,,音读,凉
涼,すず,しい,,训读,凉
涼,すず,む,,训读,凉
猟,りょう,,獵,音读,猎
陵,りょう,,,音读,
陵,みささぎ,,,训读,
量,りょう,,,音读,
量,はか,る,,训读,
僚,りょう,,,音读,
領,りょう,,,音读,领
寮,りょう,,,音读,
療,りょう,,,音读,疗
瞭,りょう,,,音读,了
糧,りょう,,,音读,粮
糧,ろう,,,音读,粮
糧,かて,,,训读,粮
力,りょく,,,音读,
力,りき,,,音读,
力,ちから,,,训读,
緑,りょく,,綠,音读,绿
緑,ろく,,綠,音读,绿
緑,みどり,,綠,训读,绿
林,りん,,,音读,
林,はやし,,,训读,
厘,りん,,,音读,
倫,りん,,,音读,伦
輪,りん,,,音读,轮
輪,わ,,,训读,轮
隣,りん,,,音读,邻
隣,となる,,,训读,邻
隣,となり,,,训读,邻
臨,りん,,,音读,临
臨,のぞ,む,,训读,临
瑠,る,,,音读,
涙,るい,,淚,音读,泪
涙,なみだ,,淚,训读,泪
累,るい,,,音读,
塁,るい,,壘,音读,垒
類,るい,,類,音读,类
類,たぐ,い,類,训读,类
令,れい,,,音读,
礼,れい,,禮,音读,
礼,らい,,禮,音读,
冷,れい,,,音读,
冷,つめ,たい,,训读,
冷,ひ,える,,训读,
冷,ひ,や,,训读,
冷,ひ,やす,,训读,
冷,ひ,やかす,,训读,
冷,さ,める,,训读,
冷,さ,ます,,训读,
励,れい,,勵,音读,
励,はげ,む,勵,训读,
励,はげ,ます,勵,训读,
戻,れい,,戾,音读,戾
戻,もど,す,戾,训读,戾
戻,もど,る,戾,训读,戾
例,れい,,,音读,
例,たと,える,,训读,
鈴,れい,,,音读,铃
鈴,りん,,,音读,铃
鈴,すず,,,训读,铃
零,れい,,,音读,
霊,れい,,靈,音读,灵
霊,りょう,,靈,音读,灵
霊,たま,,靈,训读,灵
隷,れい,,,音读,隶
齢,れい,,齡,音读,龄
麗,れい,,,音读,丽
麗,うるわ,しい,,训读,丽
暦,れき,,曆,音读,历
暦,こよみ,,曆,训读,历
歴,れき,,歷,音读,历
列,れつ,,,音读,
劣,れつ,,,音读,
劣,おと,る,,训读,
烈,れつ,,,音读,
裂,れつ,,,音读,
